OrderID,Date,Store,Region,Category,Product,Units,Unit_Price,Discount,Revenue,Profit,SalesRep
ORD104088,2023-01-02 04:26:00,Bengaluru,South,Electronics,Power Bank,6.0,641.67,0.0,3850.02,955.25,T. Banerjee
ORD105590,2023-01-02 04:31:00,Chandigarh,North,Toys,Puzzle 500pc,11.0,1057.59,0.05,11051.82,1387.65,S. Nair
ORD101227,2023-01-02 04:37:00,Pune,West,Apparel,Cotton Kurta,13.0,1106.24,0.0,14381.12,2342.5,K. Menon
ORD107827,2023-01-02 08:25:00,Patna,East,Electronics,Power Bank,4.0,1832.17,0.0,7328.68,853.9,T. Banerjee
ORD100075,2023-01-02 08:37:00,Ahmedabad,West,Apparel,Formal Shirt,1.0,387.89,0.0,387.89,47.97,P. Verma
ORD105483,2023-01-02 08:39:00,Patna,East,Groceries,Spice Combo Pack,11.0,682.69,0.0,7509.59,1436.78,V. Reddy
ORD109222,2023-01-02 09:23:00,Bhubaneswar,East,Toys,Board Game,9.0,807.31,0.0,7265.79,2307.59,K. Menon
ORD102391,2023-01-02 09:56:00,Bengaluru,South,Apparel,Sports Jacket,5.0,944.23,,,834.26,K. Menon
ORD108460,2023-01-02 09:59:00,Bhubaneswar,East,Toys,Board Game,9.0,1862.39,0.0,16761.51,2582.23,A. Sharma
ORD108460,2023-01-02 09:59:00,Bhubaneswar,East,Toys,Board Game,9.0,1862.39,0.0,16761.51,2582.23,A. Sharma
ORD101728,2023-01-02 13:25:00,Chennai,South,Apparel,Saree,2.0,505.68,0.1,910.22,261.04,D. Joshi
ORD109492,2023-01-02 13:37:00,Patna,East,Electronics,Power Bank,1.0,3606.5,0.05,3426.18,419.09,A. Sharma
ORD108505,2023-01-02 16:31:00,Chandigarh,North,Home Goods,Non-stick Pan,8.0,2694.17,0.0,21553.36,4786.23,S. Nair
ORD104531,2023-01-02 16:48:00,Pune,West,Toys,Soft Toy Bear,1.0,658.57,0.1,592.71,147.16,
ORD102649,2023-01-02 17:15:00,Chennai,South,Electronics,Wireless Earbuds,10.0,2148.83,0.05,20413.88,5179.44,K. Menon
ORD103639,2023-01-02 18:21:00,Ahmedabad,West,Toys,Soft Toy Bear,14.0,1296.5,0.05,17243.45,4040.92,S. Nair
ORD100229,2023-01-02 21:14:00,Chennai,South,Electronics,Power Bank,7.0,2847.97,0.2,15948.63,4926.46,M. Khan
ORD106905,2023-01-02 21:14:00,Delhi,North,Apparel,Denim Jeans,5.0,318.02,0.05,1510.59,243.91,R. Iyer
ORD100013,2023-01-02 21:59:00,Chennai,South,Home Goods,Bedsheet Set,13.0,305.12,0.0,3966.56,1112.27,P. Verma
ORD106567,2023-01-02 22:45:00,Mumbai,West,Home Goods,Curtain Set,6.0,2053.93,0.05,11707.4,3420.42,S. Nair
ORD106314,2023-01-02 23:14:00,Delhi,North,Electronics,Bluetooth Speaker,11.0,3537.76,0.15,33078.06,7451.55,V. Reddy
ORD102943,2023-01-02 23:26:00,Chandigarh,North,Home Goods,Table Lamp,7.0,1035.8,0.05,6888.07,1202.65,V. Reddy
ORD106531,2023-01-03 00:15:00,Patna,East,Home Goods,Table Lamp,11.0,2414.57,0.0,26560.27,4820.15,M. Khan
ORD106558,2023-01-03 01:42:00,Bengaluru,South,Toys,Soft Toy Bear,9.0,708.26,0.1,5736.91,734.41,D. Joshi
ORD103175,2023-01-03 01:51:00,Bhubaneswar,East,Electronics,Wireless Earbuds,,2207.81,0.05,48539.90583995959,1826.19,R. Iyer
ORD101358,2023-01-03 01:59:00,Kolkata,East,Groceries,Basmati Rice 5kg,14.0,334.43,0.0,4682.02,956.06,M. Khan
ORD103748,2023-01-03 02:02:00,Ahmedabad,West,Apparel,Formal Shirt,3.0,306.67,0.05,874.01,301.7,P. Verma
ORD109799,2023-01-03 03:13:00,Delhi,North,Toys,Puzzle 500pc,14.0,1641.37,0.0,22979.18,7648.36,R. Iyer
ORD102188,2023-01-03 03:32:00,Bengaluru,South,Toys,Puzzle 500pc,7.0,663.53,0.2,3715.77,400.17,P. Verma
ORD108957,2023-01-03 03:35:00,Lucknow,North,Apparel,Saree,2.0,1174.22,0.0,2348.44,338.52,S. Nair
ORD108112,2023-01-03 03:50:00,Ahmedabad,West,Electronics,Power Bank,8.0,1429.34,0.05,10862.98,1865.59,T. Banerjee
ORD108314,2023-01-03 04:26:00,Ahmedabad,West,Electronics,Power Bank,2.0,723.84,0.2,1158.14,378.6,A. Sharma
ORD106183,2023-01-03 04:54:00,Hyderabad,South,Toys,Puzzle 500pc,2.0,737.87,0.05,1401.95,299.71,S. Nair
ORD108974,2023-01-03 07:49:00,Chennai,South,Home Goods,Non-stick Pan,4.0,1165.44,0.0,4661.76,484.65,A. Sharma
ORD103576,2023-01-03 10:39:00,Kolkata,East,Electronics,Smartwatch,12.0,577.35,0.0,6928.2,2123.21, K. Menon 
ORD105868,2023-01-03 11:15:00,Bhubaneswar,East,Groceries,Basmati Rice 5kg,7.0,111.71,0.0,781.97,169.7,D. Joshi
ORD109298,2023-01-03 12:11:00,Bhubaneswar,East,Toys,Remote Control Car,12.0,884.75,0.1,9555.3,1714.84,T. Banerjee
ORD107432,2023-01-03 15:16:00,Hyderabad,South,Electronics,Bluetooth Speaker,10.0,3318.06,0.05,31521.57,5632.3,P. Verma
ORD100140,2023-01-03 18:18:00,Pune,West,Electronics,Wireless Earbuds,14.0,2950.3,,43301.73,7447.49,D. Joshi
ORD100140,2023-01-03 18:18:00,Pune,West,Electronics,Wireless Earbuds,14.0,2950.3,,41304.2,7379.9,D. Joshi
ORD102585,2023-01-03 18:32:00,Lucknow,North,Home Goods,Table Lamp,13.0,1710.91,0.1,20017.65,3597.64,V. Reddy
ORD102744,2023-01-03 19:28:00,Bhubaneswar,East,Toys,Building Blocks Set,2.0,443.43,0.05,842.52,84.74,D. Joshi
ORD109853,2023-01-03 21:44:00,Delhi,North,Groceries,Basmati Rice 5kg,3.0,741.88,0.2,1780.51,277.86,S. Nair
ORD104460,2023-01-03 22:44:00,Ahmedabad,West,Groceries,Wheat Flour 10kg,13.0,432.33,0.0,5620.29,566.13,T. Banerjee
ORD101844,2023-01-03 23:21:00,Patna,East,Toys,Soft Toy Bear,10.0,1166.83,0.15,9918.05,2428.11,D. Joshi
ORD103509,2023-01-03 23:31:00,Chandigarh,North,Groceries,Tea Leaves 500g,6.0,237.24,0.1,1281.1,246.22,P. Verma
ORD105927,2023-01-03 23:56:00,Mumbai,West,Apparel,Denim Jeans,13.0,1965.96,0.0,25557.48,7692.74,T. Banerjee
ORD108758,2023-01-04 01:19:00,Ahmedabad,West,Apparel,Saree,12.0,2480.84,0.1,26793.07,7013.98,M. Khan
ORD104426,2023-01-04 02:19:00,Bengaluru,South,Home Goods,Non-stick Pan,8.0,2129.04,0.1,15329.09,2415.64,K. Menon
ORD103585,2023-01-04 02:36:00,Ahmedabad,West,Electronics,Smartwatch,4.0,2680.57,0.15,9113.94,2918.76,  P. Verma
ORD109673,2023-01-04 04:28:00,Kolkata,East,Apparel,Cotton Kurta,9.0,1996.75,0.15,15275.14,3040.49,V. Reddy
ORD103723,2023-01-04 05:55:00,Chennai,South,Groceries,Spice Combo Pack,13.0,356.57,0.0,4635.41,1134.61,A. Sharma
ORD102466,2023-01-04 06:26:00,Ahmedabad,West,Toys,Remote Control Car,14.0,,0.0,2408.28,348.97,V. Reddy
ORD103033,2023-01-04 06:29:00,Lucknow,North,Apparel,Cotton Kurta,4.0,809.95,0.2,2591.84,376.96,T. Banerjee
ORD108413,2023-01-04 08:18:00,Chandigarh,North,Toys,Soft Toy Bear,11.0,1495.33,0.1,14803.77,1664.53,R. Iyer
ORD102667,2023-01-04 08:19:00,Hyderabad,South,Toys,Puzzle 500pc,3.0,425.49,0.0,1276.47,169.57,V. Reddy
ORD104625,2023-01-04 09:08:00,Bhubaneswar,East,Home Goods,Bedsheet Set,1.0,1598.41,0.05,1518.49,333.02,M. Khan
ORD104550,2023-01-04 09:09:00,Bengaluru,South,Toys,Remote Control Car,6.0,308.82,0.1,1667.63,568.63,K. Menon
ORD108487,2023-01-04 09:47:00,Pune,West,Toys,Remote Control Car,9.0,,0.15,7625.83,1834.04,D. Joshi
ORD101752,2023-01-04 10:30:00,Bhubaneswar,East,Electronics,Power Bank,8.0,3571.79,0.05,27145.6,4573.07,D. Joshi
ORD109664,2023-01-04 11:21:00,Chennai,South,Home Goods,Bedsheet Set,1.0,2746.99,0.0,2746.99,692.52,
ORD104322,2023-01-04 12:14:00,Pune,West,Apparel,Formal Shirt,12.0,2114.04,0.05,24100.06,3051.25,D. Joshi
ORD107803,2023-01-04 13:13:00,Hyderabad,South,Apparel,Formal Shirt,7.0,1965.31,0.2,11005.74,3133.91,T. Banerjee
ORD107525,2023-01-04 13:54:00,Chandigarh,North,Toys,Puzzle 500pc,4.0,1431.63,0.0,5726.52,963.75,A. Sharma
ORD104847,2023-01-04 14:35:00,Lucknow,North,Electronics,Smartwatch,11.0,3950.01,0.15,,4131.62,N. Gupta
ORD108830,2023-01-04 17:11:00,Hyderabad,South,Groceries,Wheat Flour 10kg,5.0,206.16,0.15,876.18,164.42,T. Banerjee
ORD105973,2023-01-04 17:40:00,Ahmedabad,West,Electronics,Wireless Earbuds,2.0,1979.07,0.0,3958.14,1199.67,S. Nair
ORD109495,2023-01-04 18:37:00,Mumbai,West,Groceries,Basmati Rice 5kg,11.0,216.2,0.0,2378.2,340.14,N. Gupta
ORD106093,2023-01-04 18:59:00,Hyderabad,South,Electronics,Power Bank,1.0,2216.62,0.0,2216.62,559.77,D. Joshi
ORD105747,2023-01-04 19:08:00,Mumbai,West,Groceries,Cooking Oil 1L,2.0,219.23,0.1,394.61,46.35,T. Banerjee
ORD105004,2023-01-04 20:23:00,Pune,West,Home Goods,Curtain Set,2.0,1356.56,0.05,2577.46,411.75,A. Sharma
ORD107752,2023-01-04 22:15:00,Delhi,North,Toys,Board Game,4.0,1950.02,0.05,7410.08,749.08,
ORD109453,2023-01-04 23:10:00,Bengaluru,South,Groceries,Wheat Flour 10kg,13.0,370.78,0.0,4820.14,771.37,R. Iyer
ORD106441,2023-01-05 03:29:00,Hyderabad,South,Groceries,Basmati Rice 5kg,4.0,592.5,0.05,2251.5,291.85,R. Iyer
ORD100882,2023-01-05 03:36:00,Mumbai,West,Home Goods,Table Lamp,14.0,636.97,0.0,8917.58,1135.94,K. Menon
ORD102065,2023-01-05 04:12:00,Bengaluru,South,Electronics,Smartwatch,8.0,615.29,0.15,4183.97,1242.08,S. Nair
ORD104412,2023-01-05 04:48:00,Mumbai,West,Home Goods,Table Lamp,9.0,1093.8,0.15,65536.96534162137,2439.27,A. Sharma
ORD102933,2023-01-05 06:00:00,Lucknow,North,Toys,Remote Control Car,4.0,912.84,0.2,2921.09,982.7,M. Khan
ORD100065,2023-01-05 07:01:00,Lucknow,North,Groceries,Wheat Flour 10kg,3.0,300.65,0.0,901.95,221.67,R. Iyer
ORD103174,2023-01-05 08:28:00,Hyderabad,South,Electronics,LED Monitor,6.0,3056.79,0.1,16506.67,4513.69,M. Khan
ORD107880,2023-01-05 08:43:00,Kolkata,East,Home Goods,Curtain Set,5.0,2461.66,0.0,12308.3,2845.8,V. Reddy
ORD106491,2023-01-05 09:47:00,Kolkata,East,Electronics,LED Monitor,2.0,682.61,0.1,1228.7,300.04,M. Khan
ORD105175,2023-01-05 09:48:00,Delhi,North,Apparel,Denim Jeans,13.0,1288.3,0.05,73498.13491098867,3655.61,V. Reddy
ORD103325,2023-01-05 12:26:00,Bengaluru,South,Groceries,Spice Combo Pack,5.0,652.24,0.0,3261.2,1067.78,N. Gupta
ORD101357,2023-01-05 12:57:00,Patna,East,Electronics,Bluetooth Speaker,8.0,3870.46,0.0,30963.68,3447.8,T. Banerjee
ORD108073,2023-01-05 13:23:00,Chandigarh,North,Toys,Remote Control Car,14.0,309.14,0.05,4111.56,727.34,P. Verma
ORD101383,2023-01-05 14:07:00,Kolkata,East,Groceries,Basmati Rice 5kg,7.0,556.77,0.0,3897.39,,N. Gupta
ORD102266,2023-01-05 15:06:00,Pune,West,Groceries,Basmati Rice 5kg,12.0,699.49,0.05,7974.19,1418.6,N. Gupta
ORD101492,2023-01-05 15:08:00,Kolkata,East,Home Goods,Non-stick Pan,5.0,860.25,0.0,4301.25,1228.56,S. Nair
ORD109061,2023-01-05 15:17:00,Patna,East,Apparel,Denim Jeans,9.0,1552.95,0.0,13976.55,1878.34,A. Sharma
ORD106324,2023-01-05 16:52:00,Ahmedabad,West,Home Goods,Bedsheet Set,9.0,2335.45,0.05,19968.1,,D. Joshi
ORD102020,2023-01-05 19:50:00,Lucknow,North,Groceries,Wheat Flour 10kg,13.0,148.24,0.0,1927.12,242.21,P. Verma
ORD107042,2023-01-05 20:10:00,Bengaluru,South,Home Goods,Non-stick Pan,8.0,1047.55,,8380.4,935.44,P. Verma
ORD108406,2023-01-05 20:59:00,Chennai,South,Electronics,LED Monitor,14.0,2716.3,0.0,38028.2,6956.34,R. Iyer
ORD101114,2023-01-05 21:40:00,Chennai,South,Groceries,Basmati Rice 5kg,8.0,608.24,0.0,4865.92,1203.44,R. Iyer
ORD108169,2023-01-05 22:01:00,Kolkata,East,Toys,Building Blocks Set,12.0,783.48,0.1,8461.58,2854.44,V. Reddy
ORD104670,2023-01-05 22:40:00,Delhi,North,Home Goods,Table Lamp,13.0,734.48,0.0,9548.24,2702.78,S. Nair
ORD106704,2023-01-05 23:04:00,Chandigarh,North,Toys,Board Game,5.0,1840.78,0.05,8743.7,2595.7,P. Verma
ORD103515,2023-01-05 23:36:00,Pune,West,Toys,Board Game,4.0,1815.98,0.0,29440.965282199944,2441.0,V. Reddy
ORD104054,2023-01-06 00:43:00,Chandigarh,North,Apparel,Denim Jeans,12.0,1792.47,0.0,21509.64,5636.28,M. Khan
ORD101216,2023-01-06 01:11:00,Patna,East,Groceries,Tea Leaves 500g,12.0,220.97,0.05,2519.06,825.88,D. Joshi
ORD101904,2023-01-06 02:29:00,Chandigarh,North,Electronics,Smartwatch,9.0,3110.43,0.0,27993.87,6205.08,N. Gupta
ORD107492,2023-01-06 03:32:00,Chennai,South,Groceries,Basmati Rice 5kg,1.0,331.68,0.05,315.1,80.45,P. Verma
ORD100142,2023-01-06 04:35:00,Chandigarh,North,Electronics,Wireless Earbuds,7.0,3012.13,0.0,21084.91,2842.33,V. Reddy
ORD100241,2023-01-06 04:40:00,Kolkata,East,Apparel,Cotton Kurta,10.0,926.58,0.0,9265.8,1137.05,A. Sharma
ORD108782,2023-01-06 05:37:00,Chennai,South,Groceries,Spice Combo Pack,5.0,726.81,0.1,3270.64,676.77,S. Nair
ORD105895,2023-01-06 07:20:00,Chennai,South,Apparel,Sports Jacket,12.0,1707.15,0.0,20485.8,5267.55,P. Verma
ORD107851,2023-01-06 08:22:00,Chandigarh,North,Apparel,Saree,2.0,1569.68,0.0,3139.36,753.17,T. Banerjee
ORD102617,2023-01-06 09:00:00,Ahmedabad,West,Apparel,Saree,14.0,303.12,0.0,4243.68,1370.47,S. Nair
ORD107289,2023-01-06 09:14:00,Patna,East,Groceries,Cooking Oil 1L,7.0,187.63,0.0,1313.41,302.72,S. Nair
ORD101121,2023-01-06 11:40:00,Hyderabad,South,Electronics,Power Bank,5.0,1196.45,0.0,5982.25,1114.97,P. Verma
ORD102074,2023-01-06 11:57:00,Pune,West,Home Goods,Curtain Set,1.0,1706.73,0.1,1536.06,464.34,K. Menon
ORD101810,2023-01-06 12:11:00,Chennai,South,Electronics,Smartwatch,3.0,,0.15,3362.91,766.49,R. Iyer
ORD104228,2023-01-06 12:57:00,Mumbai,West,Home Goods,Table Lamp,13.0,2135.02,0.0,27755.26,9234.42,V. Reddy
ORD105067,2023-01-06 14:14:00,Pune,West,Toys,Board Game,7.0,477.95,0.0,3345.65,869.1,P. Verma
ORD105121,2023-01-06 14:20:00,Patna,East,Apparel,Denim Jeans,10.0,1396.91,0.2,11175.28,1767.42,P. Verma
ORD100847,2023-01-06 14:49:00,Hyderabad,South,Apparel,Saree,4.0,897.51,0.2,2872.03,637.97,T. Banerjee
ORD109141,2023-01-06 14:52:00,Pune,West,Toys,Board Game,9.0,772.64,0.0,6953.76,1761.15,S. Nair
ORD109004,2023-01-06 15:18:00,Bengaluru,South,Apparel,Formal Shirt,8.0,1110.1,0.0,8880.8,3044.31,M. Khan
ORD107813,2023-01-06 15:49:00,Mumbai,West,Electronics,Wireless Earbuds,12.0,1015.66,0.0,12187.92,2915.56,M. Khan
ORD108426,2023-01-06 18:20:00,Bhubaneswar,East,Apparel,Formal Shirt,14.0,1182.99,0.05,15733.77,2229.67,
ORD107755,2023-01-06 18:25:00,Delhi,North,Home Goods,Curtain Set,2.0,695.79,0.15,1182.84,262.03,N. Gupta
ORD108275,2023-01-06 18:36:00,Mumbai,West,Home Goods,Non-stick Pan,2.0,314.13,0.0,628.26,177.37,P. Verma
ORD105870,2023-01-06 19:01:00,Kolkata,East,Toys,Board Game,2.0,1079.3,,1942.74,641.9,D. Joshi
ORD100418,2023-01-06 19:31:00,Pune,West,Apparel,Formal Shirt,12.0,1923.8,0.0,23085.6,5271.4,K. Menon
ORD104977,2023-01-06 19:34:00,Lucknow,North,Home Goods,Bedsheet Set,11.0,1460.56,0.05,15262.85,4696.11,R. Iyer
ORD106263,2023-01-06 22:03:00,Delhi,North,Home Goods,Storage Box,5.0,2274.81,0.0,11374.05,3539.9,K. Menon
ORD106716,2023-01-06 22:09:00,Ahmedabad,West,Apparel,Formal Shirt,4.0,2433.21,0.2,7786.27,1877.45,N. Gupta
ORD109566,2023-01-06 23:38:00,Lucknow,North,Toys,Remote Control Car,5.0,1179.42,0.15,5012.54,733.85,M. Khan
ORD105329,2023-01-07 00:46:00,Pune,West,Home Goods,Bedsheet Set,12.0,2148.19,0.0,25778.28,3372.06,P. Verma
ORD105329,2023-01-07 00:46:00,Pune,West,Home Goods,Bedsheet Set,12.0,2148.19,0.0,25778.28,3372.06,P. Verma
ORD108738,2023-01-07 01:37:00,Bhubaneswar,East,Apparel,Saree,6.0,1690.25,0.05,9634.42,2639.29,T. Banerjee
ORD108738,2023-01-07 01:37:00,Bhubaneswar,East,Apparel,Saree,6.0,1690.25,0.05,9634.42,2639.29,T. Banerjee
ORD103891,2023-01-07 02:16:00,Hyderabad,South,Electronics,LED Monitor,10.0,1146.26,0.05,10889.47,2401.88,T. Banerjee
ORD102469,2023-01-07 03:14:00,Delhi,North,Toys,Remote Control Car,5.0,314.3,0.0,1571.5,377.25,V. Reddy
ORD108161,2023-01-07 03:54:00,Mumbai,West,Electronics,LED Monitor,8.0,3326.11,0.15,22617.55,7187.68,T. Banerjee
ORD109786,2023-01-07 04:12:00,Lucknow,North,Toys  ,Board Game,8.0,1009.77,0.1,7270.34,1004.71,N. Gupta
ORD103660,2023-01-07 04:24:00,Pune,West,Apparel,Cotton Kurta,9.0,942.18,0.2,6783.7,1430.17,N. Gupta
ORD102526,2023-01-07 04:39:00,Pune,West,Apparel,Saree,10.0,1754.15,0.2,14033.2,3063.22,D. Joshi
ORD106240,2023-01-07 06:28:00,Ahmedabad,West,Apparel,Denim Jeans,1.0,452.42,0.05,429.8,74.2,M. Khan
ORD109551,2023-01-07 06:35:00,Lucknow,North,Home Goods,Table Lamp,10.0,2954.15,0.15,25110.28,2994.04,
ORD107517,2023-01-07 06:42:00,Hyderabad,South,Apparel,Saree,10.0,1409.66,0.0,14096.6,3691.9,P. Verma
ORD106892,2023-01-07 07:23:00,Hyderabad,South,Apparel,Sports Jacket,9.0,1022.05,0.0,9198.45,3136.96,V. Reddy
ORD103357,2023-01-07 08:47:00,Hyderabad,South,Electronics,LED Monitor,11.0,1161.89,0.0,12780.79,3427.62,N. Gupta
ORD102683,2023-01-07 09:12:00,Patna,East,Apparel,Cotton Kurta,5.0,783.65,0.05,3722.34,1112.54,D. Joshi
ORD108620,2023-01-07 11:02:00,Delhi,North,Electronics,Bluetooth Speaker,6.0,1001.2,0.0,6007.2,1748.42,S. Nair
ORD106969,2023-01-07 12:17:00,Patna,East,Home Goods,Table Lamp,8.0,1138.23,0.15,7739.96,1742.59, R. Iyer 
ORD108832,2023-01-07 12:46:00,Patna,East,Toys,Puzzle 500pc,4.0,1341.12,0.0,5364.48,758.31,A. Sharma
ORD105499,2023-01-07 13:05:00,Chandigarh,North,Groceries,Tea Leaves 500g,9.0,836.27,0.0,7526.43,2159.41,A. Sharma
ORD101925,2023-01-07 16:11:00,Mumbai,West,Toys,Remote Control Car,12.0,1978.12,0.0,23737.44,3674.66,M. Khan
ORD106878,2023-01-07 16:29:00,Bhubaneswar,East,Apparel,Sports Jacket,8.0,1121.24,0.0,8969.92,2618.88,S. Nair
ORD103960,2023-01-07 18:00:00,Delhi,North,Home Goods,Storage Box,6.0,1417.45,0.05,8079.46,1989.0, R. Iyer 
ORD101191,2023-01-07 19:02:00,Ahmedabad,West,Groceries,Wheat Flour 10kg,14.0,323.04,0.1,4070.3,960.89,P. Verma
ORD104683,2023-01-07 19:36:00,Ahmedabad,West,Home Goods,Storage Box,2.0,557.97,0.2,892.75,234.51,T. Banerjee
ORD106438,2023-01-07 19:47:00,Bhubaneswar,East,Groceries,Tea Leaves 500g,13.0,158.51,0.05,1957.6,403.41,A. Sharma
ORD102886,2023-01-07 21:57:00,Bhubaneswar,East, Electronics ,LED Monitor,8.0,2200.26,0.1,15841.87,2052.03,N. Gupta
ORD104094,2023-01-07 22:07:00,Patna,East,Toys,Remote Control Car,1.0,968.72,0.05,920.28,319.86,P. Verma
ORD104780,2023-01-07 22:33:00,Patna,East,Electronics,Wireless Earbuds,10.0,2381.66,0.2,19053.28,5699.8,A. Sharma
ORD109036,2023-01-07 23:18:00,Mumbai,West,Groceries,Basmati Rice 5kg,1.0,763.23,0.05,725.07,196.72,S. Nair
ORD105256,2023-01-08 00:33:00,Pune,West,Groceries,Tea Leaves 500g,9.0,660.51,0.0,5944.59,836.1,P. Verma
ORD104294,2023-01-08 01:03:00,Chandigarh,North,Electronics,Power Bank,9.0,3279.2,0.0,29512.8,4806.94,M. Khan
ORD108771,2023-01-08 01:11:00,Chennai,South,Electronics,Smartwatch,3.0,1783.65,0.0,5350.95,1124.84,T. Banerjee
ORD109139,2023-01-08 02:13:00,Lucknow,North,Groceries,Tea Leaves 500g,4.0,235.13,0.1,846.47,163.45,K. Menon
ORD104124,2023-01-08 02:42:00,Chennai,South,Toys,Soft Toy Bear,14.0,1998.63,0.0,27980.82,6794.12,A. Sharma
ORD100543,2023-01-08 03:19:00,Chennai,South,Home Goods,Bedsheet Set,4.0,2193.66,0.0,8774.64,2839.08,M. Khan
ORD108105,2023-01-08 03:37:00,Patna,East,Toys,Building Blocks Set,11.0,1808.82,0.0,19897.02,4502.35,N. Gupta
ORD104740,2023-01-08 04:05:00,Ahmedabad,West,Groceries,Cooking Oil 1L,4.0,268.13,0.05,1018.89,318.72,V. Reddy
ORD105631,2023-01-08 04:36:00,Ahmedabad,West,Toys,Building Blocks Set,1.0,1356.46,0.1,1220.81,298.88,T. Banerjee
